Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704658912,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1704658913,1,,Aggregated,0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,1,1,5.9195249996264465,5.9195249996264465,5.9195249996264465,5.9195249996264465,0.0
1704658914,1,,Aggregated,0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,2,2,3.393971997866174,4.65674849874631,3.393971997866174,5.9195249996264465,0.0
1704658915,1,,Aggregated,0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,2,2,3.393971997866174,4.65674849874631,3.393971997866174,5.9195249996264465,0.0
1704658916,1,,Aggregated,0.000000,0.000000,6,6,6,6,6,6,6,6,6,6,6,2,2,3.393971997866174,4.65674849874631,3.393971997866174,5.9195249996264465,0.0
1704658917,1,,Aggregated,1.000000,1.000000,3,3,6,6,6,6,6,6,6,6,6,3,3,3,3.6445436659657084,1.620134000404505,5.9195249996264465,0.0
1704658918,1,,Aggregated,0.500000,0.500000,3,3,6,6,6,6,6,6,6,6,6,4,4,2,3.162141749271541,1.620134000404505,5.9195249996264465,0.0
1704658919,1,,Aggregated,0.500000,0.500000,3,3,6,6,6,6,6,6,6,6,6,4,4,2,3.162141749271541,1.620134000404505,5.9195249996264465,0.0
1704658920,1,,Aggregated,0.500000,0.500000,2,3,3,6,6,6,6,6,6,6,6,5,5,2,2.8590401998371817,1.620134000404505,5.9195249996264465,0.0
1704658921,1,,Aggregated,0.500000,0.500000,2,3,3,6,6,6,6,6,6,6,6,5,5,2,2.8590401998371817,1.620134000404505,5.9195249996264465,0.0
1704658922,1,,Aggregated,0.500000,0.500000,2,2,3,3,6,6,6,6,6,6,6,6,6,2,2.678456333645348,1.620134000404505,5.9195249996264465,0.0
1704658923,1,,Aggregated,0.500000,0.500000,2,2,3,3,6,6,6,6,6,6,6,6,6,2,2.678456333645348,1.620134000404505,5.9195249996264465,0.0
1704658924,1,,Aggregated,0.500000,0.500000,2,2,3,3,6,6,6,6,6,6,6,6,6,2,2.678456333645348,1.620134000404505,5.9195249996264465,0.0
1704658925,1,,Aggregated,0.500000,0.500000,2,2,3,3,6,6,6,6,6,6,6,7,7,2,2.5547537147109063,1.620134000404505,5.9195249996264465,0.0
1704658926,1,,Aggregated,0.400000,0.400000,2,2,3,3,6,6,6,6,6,6,6,8,8,2,2.4382137503380363,1.620134000404505,5.9195249996264465,0.0
1704658927,1,,Aggregated,0.400000,0.400000,2,2,3,3,6,6,6,6,6,6,6,8,8,2,2.4382137503380363,1.620134000404505,5.9195249996264465,0.0
1704658928,1,,Aggregated,0.500000,0.500000,2,2,2,3,6,6,6,6,6,6,6,9,9,2,2.3820833335371896,1.620134000404505,5.9195249996264465,0.0
1704658929,1,,Aggregated,0.500000,0.500000,2,2,2,3,6,6,6,6,6,6,6,9,9,2,2.3820833335371896,1.620134000404505,5.9195249996264465,0.0
1704658930,1,,Aggregated,0.500000,0.500000,2,2,2,3,6,6,6,6,6,6,6,9,9,2,2.3820833335371896,1.620134000404505,5.9195249996264465,0.0
1704658931,1,,Aggregated,0.500000,0.500000,2,2,2,3,6,6,6,6,6,6,6,10,10,2,2.3212087002320914,1.620134000404505,5.9195249996264465,0.0
1704658932,1,,Aggregated,0.500000,0.500000,2,2,2,3,6,6,6,6,6,6,6,10,10,2,2.3212087002320914,1.620134000404505,5.9195249996264465,0.0
1704658933,1,,Aggregated,0.400000,0.400000,2,2,2,2,3,6,6,6,6,6,6,11,11,2,2.261720182022228,1.620134000404505,5.9195249996264465,0.0
1704658934,1,,Aggregated,0.400000,0.400000,2,2,2,2,3,6,6,6,6,6,6,11,11,2,2.261720182022228,1.620134000404505,5.9195249996264465,0.0
